ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0.6573391438942537,0.6105961848314582,0.4874640041050189,0.6180118745505168,0.6103397353940558,0.35584685366908547,0.7295712158528052,0.8925786137134932,0.6552775951181644,0
0.7557987337355838,0.40169073559752155,0.3967125560823011,0.42772784042278195,0.3866564991921986,0.43321299504852556,0.3467531826300236,0.09762349982352198,0.5247640990072964,0
0.31037176954145373,0.44697182988255324,0.6386689039417268,0.5532983754195522,0.4658067980310858,0.1735752272993814,0.17096009874112145,0.36422118267760445,0.1675713645733336,0
0.8994825238923276,0.8221792416806243,0.6386920174678968,0.5493410349455938,0.7863052209905776,0.18058381655768468,0.47094565174839215,0.709517104014374,0.1942731269974331,0
0.6978529851674722,0.5414555282909733,0.29995216846589695,0.17821526856874342,0.3539967934324877,0.6009515845181901,0.39158644829771055,0.45588439994086266,0.6016890815757325,0
1.0,0.6913286704762084,0.565334569007435,0.746047712372135,0.8359612285714249,0.7974865068395345,0.701257822685238,0.5626437966023523,0.5944143033149287,0
0.5359401720283837,0.30386352654162463,0.7218827774318501,0.5540319876062192,0.4655483829072409,0.4925900952657177,0.5709665249077553,0.6413139958117025,0.42746535964643323,0
0.5053638800076534,0.24851140307713948,0.41360340425522674,0.057839314728339086,0.25368363160070406,0.3216120336746325,0.5900413746217998,0.6501629802767432,0.376424972392806,0
0.40727313049164093,0.437048641605838,0.915377294064228,0.8155326976100052,0.646710327544932,0.6937083588334081,0.34572363739580997,0.5986441837642149,0.5957782259493674,0
0.7671417658656583,0.983806964672412,0.5329114697887695,0.47280907733212757,0.8087313500642943,0.608363642244172,0.448552065672327,0.5566041519005149,0.6257875214035877,0
0.5372619512248907,0.6113698281511778,0.5686104285543278,0.1618200978983017,0.5092324385130444,0.5906202772755462,0.39967594566465364,0.455872398204547,0.16771065249759737,0
