ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Organic_carbon_ph,chloramines_hardness,trihalomethanes_solids
0.6573391438942537,0.6105961848314582,0.4874640041050189,0.6180118745505168,0.6103397353940558,0.3558468536690854,0.7295712158528052,0.8925786137134932,0.6552775951181644,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.7557987337355838,0.4016907355975215,0.3967125560823011,0.4277278404227819,0.3866564991921986,0.4332129950485255,0.3467531826300236,0.0976234998235219,0.5247640990072964,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.3103717695414537,0.4469718298825532,0.6386689039417268,0.5532983754195522,0.4658067980310858,0.1735752272993814,0.1709600987411214,0.3642211826776044,0.1675713645733336,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.8994825238923276,0.8221792416806243,0.6386920174678968,0.5493410349455938,0.7863052209905776,0.1805838165576846,0.4709456517483921,0.709517104014374,0.1942731269974331,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.6978529851674722,0.5414555282909733,0.2999521684658969,0.1782152685687434,0.3539967934324877,0.6009515845181901,0.3915864482977105,0.4558843999408626,0.6016890815757325,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
1.0,0.6913286704762084,0.565334569007435,0.746047712372135,0.8359612285714249,0.7974865068395345,0.701257822685238,0.5626437966023523,0.5944143033149287,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.5359401720283837,0.3038635265416246,0.7218827774318501,0.5540319876062192,0.4655483829072409,0.4925900952657177,0.5709665249077553,0.6413139958117025,0.4274653596464332,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.5053638800076534,0.2485114030771394,0.4136034042552267,0.057839314728339,0.253683631600704,0.3216120336746325,0.5900413746217998,0.6501629802767432,0.376424972392806,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.4072731304916409,0.437048641605838,0.915377294064228,0.8155326976100052,0.646710327544932,0.6937083588334081,0.3457236373958099,0.5986441837642149,0.5957782259493674,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.7671417658656583,0.983806964672412,0.5329114697887695,0.4728090773321275,0.8087313500642943,0.608363642244172,0.448552065672327,0.5566041519005149,0.6257875214035877,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.5372619512248907,0.6113698281511778,0.5686104285543278,0.1618200978983017,0.5092324385130444,0.5906202772755462,0.3996759456646536,0.455872398204547,0.1677106524975973,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.4470070518604467,0.3212113632927061,0.6879978212945052,0.3412067693796408,0.3904608559347495,0.7089595909645752,0.6988328075867283,0.6215668389913542,0.4480689621597435,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.2870366673225661,0.1482655041229424,0.3807076565929715,0.869276528710377,0.4738443873338915,0.5971353252300451,0.3299506256430757,0.3876480016460567,0.7014812074168078,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.4284952638180442,0.512609930006655,0.4694973020212797,0.6949445689149474,0.4510605098441194,0.465968809455534,0.532741136749669,0.6541999398614735,0.790132801917278,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.0387805058807466,0.570116319947103,0.7437235776387601,0.7089335560701941,0.7401029940999562,0.5286982221638803,0.4718476683446932,0.0776937491049156,0.550532679154339,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.5131882837359045,0.5807860328433846,0.3341940573084975,0.3583025960486701,0.5215863105084237,0.3092760403276388,0.1444044321004886,0.5575415649883939,0.7637269595906755,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.9260736312473824,0.0041820738941228,0.4943943159165092,0.6308639710227735,0.3750383285836978,0.465300432981639,0.4209113278655174,0.4900254922815832,0.7562903182195297,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.5427340764705293,0.7403848605057884,0.7242021658220855,0.4653828252090395,0.7552621801975237,0.4630914096437388,0.2736505459873808,0.2429189561587837,0.3092155254566388,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
0.2509157374916295,0.4698227897082715,0.4335924660430163,0.3666089443520652,0.4522089874224133,0.5286156782499871,0.3138161264730132,0.2981572654565768,0.4839887823698621,0,0.0009067288291307839,-0.0008934948115987154,-0.0006150443844941588
