ph,Solids,Chloramines,Turbidity,Potability
8.316765884214679,22018.41744077529,8.05933237743854,4.628770536837084,0
9.092223456290965,17978.98633892625,6.546599974207941,4.075075425430034,0
5.584086638456089,28748.68773904612,7.54486878877965,2.5597082275565217,0
10.223862164528772,28749.71654352824,7.5134084658313025,2.672988736934779,0
8.635848718500734,13672.091763901635,4.563008685599703,4.401424715445482,0
11.015527436538386,25484.50849098786,9.077200016914391,4.370561936655497,0
7.360640105838258,32452.614409143884,7.550700906704114,3.662291782852457,0
7.119824384264552,18730.81365334272,3.60603609050572,3.445756223321899,0
6.347271760539316,41065.23476453935,9.629596276480584,4.376348290691898,0
9.181560007151536,24041.32628006128,6.904989726470096,4.503660796179122,0
7.371050302429531,25630.320036999725,4.432669290372123,2.5602991476149146,0
6.660212026118103,30944.363591242687,5.858769130547582,3.7497012410996176,0
5.400301780729467,17266.593421923077,10.056852484033495,4.824786389767524,0
6.514415093251676,21218.702871190195,8.67093691991312,5.200885076539757,0
3.4450618643852127,33424.7686784948,8.782147480773485,4.184396969028851,0
7.181448580829175,15196.229987483845,5.994678646449973,5.088859989138795,0
10.43329098280438,22326.89204571865,8.161504810728331,5.057310516515726,0
7.414148196336244,32555.85253707369,6.845952023844903,3.160624468232638,0
5.115817063771218,19620.545328612152,6.060712994989327,3.9020887676437535,0
3.641629777473381,24752.072459755404,5.538314133481364,3.464353035155024,0
9.267187530763549,24683.723566029654,6.110612421393192,4.324004645618281,0
5.331940479018537,16658.876503163574,7.993829562375316,4.434820257956548,0
7.145771545218821,28780.340431632725,6.81402870120907,5.182590703980226,0
9.920691058768153,9973.934059208535,6.882248306781502,4.69070723013249,0
6.953864225511059,10575.18628088936,4.462707246137983,3.195710328196264,0
10.68296642580598,15758.740621388915,5.570783575394459,3.999775381550061,0
8.757257397440991,21536.22468744541,4.915101054543186,3.6261354416122304,0
7.80963189801941,12013.550628764531,5.212314602065352,2.447444463910633,0
6.652488090855707,19871.788448305862,4.961066380191502,3.742090426349668,0
9.14719705533692,11920.610835646206,7.2307947693374,3.7945315911032105,0
10.560744636218196,21783.65103336337,6.991259996238134,3.964686350022129,0
8.520806572970303,28779.6500110336,8.282808464509609,3.9406045297946832,0
4.999413810796919,24323.865903045946,7.230164126862036,4.460683931737437,0
3.9060783549561697,32144.79993361832,6.9948396173050975,3.902879711657464,0
6.391353623832183,20965.478308853573,5.375559891974689,3.92374916929651,0
5.058108868565138,34873.9345228707,8.983276144386597,5.106655774420084,0
7.261550522070718,24964.777703096523,5.837086492837437,3.636364182680497,0
7.16046723080874,6743.346065530401,3.8030364235979857,3.8848910441472793,0
5.704764776213017,33223.58152874991,7.050503159576975,4.157533407489738,0
6.21727313516034,19460.38281898756,7.092462955305368,5.325833445695803,0
3.514545528745279,23029.66361356364,6.821679099461131,3.762615331099367,0
3.72250048593372,37962.16799126102,6.6845702741913415,3.662837731991359,0
6.455004797496717,24468.0483903546,5.756930038692856,2.2934314064128625,0
7.316804753880919,31903.399811532247,9.86504750268218,3.508372649783596,0
7.408985466924612,9566.1222701692,6.505923138805981,3.772420927989514,0
5.976769618087598,27267.981860954154,7.648599331443458,2.9946710955082176,0
6.395359131671062,23827.275015402887,5.1277468613272,4.191217514711704,0
6.762832521891738,27159.38434523353,7.884990657868601,4.916579160751283,0
9.91871706385417,21470.27830541328,6.799841410225563,3.385508443856719,0
10.15544017022192,12652.362978658088,6.655126362567496,5.002467259922081,0
8.721726710620581,28608.052076372544,6.325442403664851,2.5550269039968736,0
9.026787719511631,27965.07214592841,6.588374366182638,2.0190420182011657,0
6.953371603389549,11609.109054527797,5.495737654707861,3.651865808422898,0
6.140877556947864,26687.87448333394,7.587196417947506,5.359460295012964,0
7.077874006530455,23873.378210133666,6.181839616382845,4.764508264921448,0
5.488314309012512,21485.15319519108,8.18741579072919,5.066786271784542,0
7.205559174588729,24627.86756046893,6.202469332114029,3.710053125679874,0
9.177869865892433,20868.331218998803,7.726040434165082,3.1087699879134547,0
4.270716194733736,24405.25053495276,7.391510138420656,3.763905902952325,0
8.526169869777789,11837.12335960845,7.483708837987377,5.083014141516923,0
8.490571562027739,22989.79638994664,8.27079293672615,3.875556805136775,0
8.858401531200467,9624.300462110114,7.954015627092478,5.525726338121716,0
6.09815652147278,27776.901051693392,6.4430978778694525,3.9773623643299727,0
8.41997068212899,13237.989604570806,3.998265840980654,3.962478314282775,0
7.875895135481787,12710.249451611751,7.303126583151656,4.238589203481521,0
7.725332908074757,36477.73811241909,8.38676100823379,3.7248367036447,0
3.388090610523891,20230.125576951767,8.569781529733312,2.798600948267049,0
7.183825723393187,14100.968986979937,9.008495193731893,4.597165511526862,0
10.111976704648654,15331.302691753155,5.392651282023056,3.425763242173682,0
6.877456932576713,27433.587294151766,7.091521514260433,3.827650071735445,0
8.550875469289338,28918.419953077177,7.822528490547928,3.772886607458768,0
10.308477656813704,27653.235184410696,8.912266340684624,3.285077052469842,0
7.371085073209565,24913.83716589005,9.616330436939966,4.4125895367028125,0
6.506487766502467,17087.076901837234,6.201982767323312,3.5487755887477364,0
6.643935774662305,10909.194592323076,3.749625148300965,3.8129529259917896,0
5.033773989751668,34971.80748262682,7.121477448104934,3.244948477319064,0
6.91260756198984,17973.178859011827,4.916302562031351,2.6122489531921698,0
7.977635990880497,32170.06916009624,9.63563608296433,3.552129499701653,0
6.078335836509272,35957.79218259479,8.130472208247298,4.20158090550856,0
6.242414484103846,28149.41179162288,7.130436799595529,4.5087050978944845,0
6.063354789891076,14775.14559575291,7.484103646670236,3.4673369148168574,0
